Kode,Industri
CBDK,Properties & Real Estate
DADA,Properties & Real Estate
ASPI,Properties & Real Estate
AMAN,Properties & Real Estate
ABDA,Financials
ADMF,Financials
AGRO,Financials
AGRS,Financials
AHAP,Financials
AMAG,Financials
APIC,Financials
ARTO,Financials
ASBI,Financials
ASDM,Financials
ASJT,Financials
ASMI,Financials
ASRM,Financials
BABP,Financials
BACA,Financials
BBCA,Financials
BBHI,Financials
BBKP,Financials
BBLD,Financials
BBMD,Financials
BBNI,Financials
BBRI,Financials
BBTN,Financials
BBYB,Financials
BCAP,Financials
BCIC,Financials
BDMN,Financials
BEKS,Financials
BFIN,Financials
BGTG,Financials
BINA,Financials
BJBR,Financials
BJTM,Financials
BKSW,Financials
BMAS,Financials
BMRI,Financials
BNBA,Financials
BNGA,Financials
BNII,Financials
BNLI,Financials
BPFI,Financials
BPII,Financials
BSIM,Financials
BSWD,Financials
BTPN,Financials
BVIC,Financials
CFIN,Financials
DEFI,Financials
DNAR,Financials
DNET,Financials
GSMF,Financials
HDFA,Financials
INPC,Financials
LPGI,Financials
LPPS,Financials
MAYA,Financials
MCOR,Financials
MEGA,Financials
MREI,Financials
NISP,Financials
NOBU,Financials
OCAP,Financials
PADI,Financials
PALM,Financials
PANS,Financials
PEGE,Financials
PLAS,Financials
PNBN,Financials
PNBS,Financials
PNIN,Financials
PNLF,Financials
POOL,Financials
RELI,Financials
SDRA,Financials
SMMA,Financials
SRTG,Financials
STAR,Financials
TIFA,Financials
TRIM,Financials
TRUS,Financials
VICO,Financials
VINS,Financials
VRNA,Financials
WOMF,Financials
YULE,Financials
CASA,Financials
BRIS,Financials
MTWI,Financials
JMAS,Financials
NICK,Financials
BTPS,Financials
TUGU,Financials
POLA,Financials
SFAN,Financials
LIFE,Financials
FUJI,Financials
AMAR,Financials
AMOR,Financials
BHAT,Financials
BBSI,Financials
BANK,Financials
MASB,Financials
VTNY,Financials
YOII,Financials
COIN,Financials
ACST,Infrastructures
ADHI,Infrastructures
BALI,Infrastructures
BTEL,Infrastructures
BUKK,Infrastructures
CASS,Infrastructures
CENT,Infrastructures
CMNP,Infrastructures
DGIK,Infrastructures
EXCL,Infrastructures
GOLD,Infrastructures
HADE,Infrastructures
IBST,Infrastructures
ISAT,Infrastructures
JKON,Infrastructures
JSMR,Infrastructures
KARW,Infrastructures
KBLV,Infrastructures
LINK,Infrastructures
META,Infrastructures
NRCA,Infrastructures
PTPP,Infrastructures
SSIA,Infrastructures
SUPR,Infrastructures
TBIG,Infrastructures
TLKM,Infrastructures
TOTL,Infrastructures
TOWR,Infrastructures
WIKA,Infrastructures
WSKT,Infrastructures
IDPR,Infrastructures
MTRA,Infrastructures
OASA,Infrastructures
POWR,Infrastructures
PBSA,Infrastructures
PORT,Infrastructures
TGRA,Infrastructures
TOPS,Infrastructures
MPOW,Infrastructures
GMFI,Infrastructures
PPRE,Infrastructures
WEGE,Infrastructures
MORA,Infrastructures
IPCM,Infrastructures
LCKM,Infrastructures
GHON,Infrastructures
IPCC,Infrastructures
MTPS,Infrastructures
JAST,Infrastructures
KEEN,Infrastructures
PTPW,Infrastructures
TAMA,Infrastructures
RONY,Infrastructures
PTDU,Infrastructures
KETR,Infrastructures
FIMP,Infrastructures
MTEL,Infrastructures
SMKM,Infrastructures
ARKO,Infrastructures
KRYA,Infrastructures
PGEO,Infrastructures
BDKR,Infrastructures
INET,Infrastructures
BREN,Infrastructures
KOKA,Infrastructures
ASLI,Infrastructures
DATA,Infrastructures
HGII,Infrastructures
CDIA,Infrastructures
MANG,Infrastructures
ABBA,Consumer Cyclicals
ACES,Consumer Cyclicals
AKKU,Consumer Cyclicals
ARGO,Consumer Cyclicals
ARTA,Consumer Cyclicals
AUTO,Consumer Cyclicals
BATA,Consumer Cyclicals
BAYU,Consumer Cyclicals
BIMA,Consumer Cyclicals
BLTZ,Consumer Cyclicals
BMTR,Consumer Cyclicals
BOLT,Consumer Cyclicals
BRAM,Consumer Cyclicals
BUVA,Consumer Cyclicals
CINT,Consumer Cyclicals
CNTX,Consumer Cyclicals
CSAP,Consumer Cyclicals
ECII,Consumer Cyclicals
ERAA,Consumer Cyclicals
ERTX,Consumer Cyclicals
ESTI,Consumer Cyclicals
FAST,Consumer Cyclicals
FORU,Consumer Cyclicals
GDYR,Consumer Cyclicals
GEMA,Consumer Cyclicals
GJTL,Consumer Cyclicals
GLOB,Consumer Cyclicals
GWSA,Consumer Cyclicals
HOME,Consumer Cyclicals
HOTL,Consumer Cyclicals
IIKP,Consumer Cyclicals
IMAS,Consumer Cyclicals
INDR,Consumer Cyclicals
INDS,Consumer Cyclicals
JIHD,Consumer Cyclicals
JSPT,Consumer Cyclicals
KICI,Consumer Cyclicals
KPIG,Consumer Cyclicals
LMPI,Consumer Cyclicals
LPIN,Consumer Cyclicals
LPPF,Consumer Cyclicals
MAPI,Consumer Cyclicals
MASA,Consumer Cyclicals
MDIA,Consumer Cyclicals
MGNA,Consumer Cyclicals
MICE,Consumer Cyclicals
MNCN,Consumer Cyclicals
MPMX,Consumer Cyclicals
MSKY,Consumer Cyclicals
MYTX,Consumer Cyclicals
PANR,Consumer Cyclicals
PBRX,Consumer Cyclicals
PDES,Consumer Cyclicals
PGLI,Consumer Cyclicals
PJAA,Consumer Cyclicals
PNSE,Consumer Cyclicals
POLY,Consumer Cyclicals
PSKT,Consumer Cyclicals
PTSP,Consumer Cyclicals
RALS,Consumer Cyclicals
RICY,Consumer Cyclicals
SCMA,Consumer Cyclicals
SHID,Consumer Cyclicals
SMSM,Consumer Cyclicals
SONA,Consumer Cyclicals
SRIL,Consumer Cyclicals
SSTM,Consumer Cyclicals
TELE,Consumer Cyclicals
TFCO,Consumer Cyclicals
TMPO,Consumer Cyclicals
TRIO,Consumer Cyclicals
TRIS,Consumer Cyclicals
UNIT,Consumer Cyclicals
VIVA,Consumer Cyclicals
JGLE,Consumer Cyclicals
MARI,Consumer Cyclicals
MKNT,Consumer Cyclicals
BOGA,Consumer Cyclicals
CARS,Consumer Cyclicals
MINA,Consumer Cyclicals
MAPB,Consumer Cyclicals
WOOD,Consumer Cyclicals
HRTA,Consumer Cyclicals
MABA,Consumer Cyclicals
BELL,Consumer Cyclicals
DFAM,Consumer Cyclicals
PZZA,Consumer Cyclicals
MSIN,Consumer Cyclicals
MAPA,Consumer Cyclicals
NUSA,Consumer Cyclicals
FILM,Consumer Cyclicals
DIGI,Consumer Cyclicals
DUCK,Consumer Cyclicals
YELO,Consumer Cyclicals
SOTS,Consumer Cyclicals
ZONE,Consumer Cyclicals
CLAY,Consumer Cyclicals
NATO,Consumer Cyclicals
HRME,Consumer Cyclicals
FITT,Consumer Cyclicals
BOLA,Consumer Cyclicals
POLU,Consumer Cyclicals
IPTV,Consumer Cyclicals
EAST,Consumer Cyclicals
KOTA,Consumer Cyclicals
INOV,Consumer Cyclicals
SLIS,Consumer Cyclicals
PMJS,Consumer Cyclicals
SBAT,Consumer Cyclicals
CBMF,Consumer Cyclicals
CSMI,Consumer Cyclicals
SOFA,Consumer Cyclicals
TOYS,Consumer Cyclicals
SCNP,Consumer Cyclicals
PLAN,Consumer Cyclicals
UFOE,Consumer Cyclicals
SNLK,Consumer Cyclicals
LFLO,Consumer Cyclicals
LUCY,Consumer Cyclicals
MGLV,Consumer Cyclicals
IDEA,Consumer Cyclicals
DEPO,Consumer Cyclicals
DRMA,Consumer Cyclicals
ASLC,Consumer Cyclicals
NETV,Consumer Cyclicals
BAUT,Consumer Cyclicals
ENAK,Consumer Cyclicals
BIKE,Consumer Cyclicals
OLIV,Consumer Cyclicals
SWID,Consumer Cyclicals
RAFI,Consumer Cyclicals
KLIN,Consumer Cyclicals
TOOL,Consumer Cyclicals
KDTN,Consumer Cyclicals
ZATA,Consumer Cyclicals
ISAP,Consumer Cyclicals
BMBL,Consumer Cyclicals
FUTR,Consumer Cyclicals
HAJJ,Consumer Cyclicals
TYRE,Consumer Cyclicals
VKTR,Consumer Cyclicals
CNMA,Consumer Cyclicals
ERAL,Consumer Cyclicals
LMAX,Consumer Cyclicals
BABY,Consumer Cyclicals
AEGS,Consumer Cyclicals
GRPH,Consumer Cyclicals
UNTD,Consumer Cyclicals
MEJA,Consumer Cyclicals
LIVE,Consumer Cyclicals
BAIK,Consumer Cyclicals
SPRE,Consumer Cyclicals
PART,Consumer Cyclicals
GOLF,Consumer Cyclicals
DOSS,Consumer Cyclicals
VERN,Consumer Cyclicals
MDIY,Consumer Cyclicals
MERI,Consumer Cyclicals
PMUI,Consumer Cyclicals
KAQI,Consumer Cyclicals
ESTA,Consumer Cyclicals
RAAM,Consumer Cyclicals
DOOH,Consumer Cyclicals
ACRO,Consumer Cyclicals
AALI,Consumer Non-Cyclicals
ADES,Consumer Non-Cyclicals
AISA,Consumer Non-Cyclicals
ALTO,Consumer Non-Cyclicals
AMRT,Consumer Non-Cyclicals
ANJT,Consumer Non-Cyclicals
BISI,Consumer Non-Cyclicals
BTEK,Consumer Non-Cyclicals
BUDI,Consumer Non-Cyclicals
BWPT,Consumer Non-Cyclicals
CEKA,Consumer Non-Cyclicals
CPIN,Consumer Non-Cyclicals
