Kode,Industri,Market Cap
KEJU,Consumer Non-Cyclicals,3318749855744.0
PSGO,Consumer Non-Cyclicals,3996200206336.0
AGAR,Consumer Non-Cyclicals,262000001024.0
UCID,Consumer Non-Cyclicals,1795639345152.0
CSRA,Consumer Non-Cyclicals,2060249989120.0
DMND,Consumer Non-Cyclicals,7290636206080.0
IKAN,Consumer Non-Cyclicals,89999966208.0
PGUN,Consumer Non-Cyclicals,68854185197568.0
PNGO,Consumer Non-Cyclicals,2492187541504.0
KMDS,Consumer Non-Cyclicals,463999991808.0
ENZO,Consumer Non-Cyclicals,201116893184.0
VICI,Consumer Non-Cyclicals,3924179812352.0
PMMP,Consumer Non-Cyclicals,129415004160.0
FAPA,Consumer Non-Cyclicals,21258437656576.0
WMUU,Consumer Non-Cyclicals,841176514560.0
TAPG,Consumer Non-Cyclicals,29282495627264.0
FLMC,Consumer Non-Cyclicals,101562499072.0
OILS,Consumer Non-Cyclicals,92627542016.0
BOBA,Consumer Non-Cyclicals,205723500544.0
CMRY,Consumer Non-Cyclicals,42847289999360.0
TAYS,Consumer Non-Cyclicals,84616839168.0
WMPP,Consumer Non-Cyclicals,353028014080.0
IPPE,Consumer Non-Cyclicals,64399998976.0
NASI,Consumer Non-Cyclicals,146946801664.0
STAA,Consumer Non-Cyclicals,12756946255872.0
NANO,Consumer Non-Cyclicals,205701136384.0
TLDN,Consumer Non-Cyclicals,8544710033408.0
IBOS,Consumer Non-Cyclicals,992092094464.0
ASHA,Consumer Non-Cyclicals,370000003072.0
TRGU,Consumer Non-Cyclicals,1541409996800.0
DEWI,Consumer Non-Cyclicals,266000007168.0
GULA,Consumer Non-Cyclicals,370345410560.0
JARR,Consumer Non-Cyclicals,23261274439680.0
AMMS,Consumer Non-Cyclicals,541059973120.0
EURO,Consumer Non-Cyclicals,1898875584512.0
BUAH,Consumer Non-Cyclicals,1089999994880.0
CRAB,Consumer Non-Cyclicals,475800010752.0
CBUT,Consumer Non-Cyclicals,3109374918656.0
MKTR,Consumer Non-Cyclicals,1640218230784.0
SOUL,Consumer Non-Cyclicals,74694311936.0
BEER,Consumer Non-Cyclicals,695999987712.0
WINE,Consumer Non-Cyclicals,563680051200.0
NAYZ,Consumer Non-Cyclicals,221850992640.0
NSSS,Consumer Non-Cyclicals,21064388182016.0
MAXI,Consumer Non-Cyclicals,490115072000.0
GRPM,Consumer Non-Cyclicals,750943404032.0
TGUK,Consumer Non-Cyclicals,489288925184.0
PTPS,Consumer Non-Cyclicals,418330378240.0
STRK,Consumer Non-Cyclicals,1726215618560.0
UDNG,Consumer Non-Cyclicals,5215119474688.0
AYAM,Consumer Non-Cyclicals,1568000049152.0
ISEA,Consumer Non-Cyclicals,134831292416.0
GUNA,Consumer Non-Cyclicals,580000022528.0
NEST,Consumer Non-Cyclicals,1603874979840.0
BRRC,Consumer Non-Cyclicals,94235500544.0
YUPI,Consumer Non-Cyclicals,13329401643008.0
FORE,Consumer Non-Cyclicals,4369996054528.0
MSJA,Consumer Non-Cyclicals,2352941367296.0
ABMM,Energy,7874051833856.0
ADRO,Energy,64721369694208.0
AIMS,Energy,93720002560.0
AKRA,Energy,25442702589952.0
APEX,Energy,773129699328.0
ARII,Energy,1110000009216.0
ARTI,Energy,15680000000.0
BBRM,Energy,1729816035328.0
BIPI,Energy,10767022686208.0
BSSR,Energy,10256679698432.0
BULL,Energy,6693596954624.0
BUMI,Energy,100260558929920.0
BYAN,Energy,472500022542336.0
CANI,Energy,168354873344.0
CNKO,Energy,564250738688.0
DEWA,Energy,22988401410048.0
DOID,Energy,2324865482752.0
DSSA,Energy,587982029455360.0
ELSA,Energy,5437382459392.0
ENRG,Energy,36884721958912.0
GEMS,Energy,44852943257600.0
GTBO,Energy,629999992832.0
HITS,Energy,823725850624.0
HRUM,Energy,14560646922240.0
IATA,Energy,2595893805056.0
INDY,Energy,18677665628160.0
ITMA,Energy,2167945428992.0
ITMG,Energy,24886598696960.0
KKGI,Energy,1578958585856.0
KOPI,Energy,185472942080.0
LEAD,Energy,980135182336.0
MBAP,Energy,2012726034432.0
MBSS,Energy,3185048551424.0
MEDC,Energy,38999339040768.0
MTFN,Energy,827894136832.0
MYOH,Energy,3077805965312.0
PGAS,Energy,53816149934080.0
PKPK,Energy,2423999954944.0
PTBA,Energy,29361610686464.0
PTIS,Energy,161748598784.0
PTRO,Energy,73880316149760.0
RAJA,Energy,20163183247360.0
RIGS,Energy,462938800128.0
RUIS,Energy,198659997696.0
SMMT,Energy,3630499889152.0
SMRU,Energy,624969973760.0
SOCI,Energy,4553054879744.0
SUGI,Energy,
TOBA,Energy,5904042819584.0
TPMA,Energy,2132852998144.0
TRAM,Energy,2482180194304.0
WINS,Energy,2394893582336.0
SHIP,Energy,10987952406528.0
TAMU,Energy,1274999996416.0
FIRE,Energy,247861018624.0
PSSI,Energy,1843702005760.0
DWGL,Energy,2516767211520.0
BOSS,Energy,70000001024.0
JSKY,Energy,105692078080.0
INPS,Energy,228800004096.0
TCPI,Energy,57124998610944.0
SURE,Energy,4148287766528.0
WOWS,Energy,203009032192.0
TEBE,Energy,1888949895168.0
SGER,Energy,7762280972288.0
UNIQ,Energy,549321998336.0
MCOL,Energy,12337792679936.0
GTSI,Energy,4714104619008.0
RMKE,Energy,18681249660928.0
BSML,Energy,588371525632.0
ADMR,Energy,78698489315328.0
SEMA,Energy,164365582336.0
SICO,Energy,112849641472.0
COAL,Energy,493749993472.0
SUNI,Energy,1987500048384.0
CBRE,Energy,3925428404224.0
HILL,Energy,1370959511552.0
CUAN,Energy,205164480823296.0
MAHA,Energy,2688775094272.0
RMKO,Energy,806250020864.0
HUMI,Energy,4118110797824.0
RGAS,Energy,131331063808.0
ALII,Energy,13293672464384.0
MKAP,Energy,2567499939840.0
ATLA,Energy,340975222784.0
BOAT,Energy,591783919616.0
AADI,Energy,67356613148672.0
RATU,Energy,17444220436480.0
PSAT,Energy,1556470693888.0
BESS,Energy,4851042353152.0
CGAS,Energy,310012313600.0
ATIC,Technology,1504984825856.0
EMTK,Technology,56819468730368.0
KREN,Technology,382289215488.0
LMAS,Technology,39392600064.0
MLPT,Technology,69468751396864.0
MTDL,Technology,6936439816192.0
PTSN,Technology,2146995011584.0
SKYB,Technology,29834999808.0
KIOS,Technology,147393216512.0
MCAS,Technology,446804787200.0
NFCX,Technology,1109540601856.0
DIVA,Technology,200198225920.0
LUCK,Technology,84458455040.0
ENVY,Technology,89999998976.0
HDIT,Technology,106727596032.0
TFAS,Technology,357872435200.0
DMMX,Technology,2235905867776.0
GLVA,Technology,563999997952.0
PGJO,Technology,676480221184.0
CASH,Technology,213237694464.0
TECH,Technology,62815002624.0
WIFI,Technology,13112116772864.0
DCII,Technology,536581169479680.0
EDGE,Technology,9676997525504.0
ZYRX,Technology,205333512192.0
UVCR,Technology,346025066496.0
BUKA,Technology,15266008268800.0
RUNS,Technology,89259114496.0
WGSH,Technology,279389995008.0
WIRG,Technology,990905696256.0
GOTO,Technology,63504870539264.0
AXIO,Technology,712495398912.0
BELI,Technology,59770866237440.0
NINE,Technology,351590973440.0
ELIT,Technology,550520291328.0
IRSX,Technology,3686053183488.0
CHIP,Technology,975260024832.0
TRON,Technology,519200014336.0
JATI,Technology,384977371136.0
CYBR,Technology,9986194276352.0
IOTF,Technology,407352934400.0
MSTI,Technology,4410880032768.0
TOSK,Technology,310644670464.0
MPIX,Technology,128130998272.0
AREA,Technology,1051394768896.0
MENN,Technology,76004753408.0
AWAN,Technology,607995035648.0
DVLA,Healthcare,1847999987712.0
INAF,Healthcare,390507724800.0
KAEF,Healthcare,2950292307968.0
KLBF,Healthcare,49932539002880.0
MERK,Healthcare,1433600000000.0
MIKA,Healthcare,32960730365952.0
PYFA,Healthcare,4674464776192.0
SAME,Healthcare,5798688194560.0
SCPI,Healthcare,
SIDO,Healthcare,15635811663872.0
SILO,Healthcare,34029904592896.0
SRAJ,Healthcare,195823346384896.0
TSPC,Healthcare,12447226265600.0
PRDA,Healthcare,2259375095808.0
PRIM,Healthcare,263508967424.0
HEAL,Healthcare,20513543946240.0
PEHA,Healthcare,246959996928.0
IRRA,Healthcare,618205085696.0
SOHO,Healthcare,37440463044608.0
DGNS,Healthcare,385000013824.0
BMHS,Healthcare,1660459417600.0
RSGK,Healthcare,911081537536.0
MTMH,Healthcare,2182295977984.0
MEDS,Healthcare,123437498368.0
PRAY,Healthcare,10818551808000.0
OMED,Healthcare,5517856473088.0
MMIX,Healthcare,1017690193920.0
PEVE,Healthcare,979921862656.0
HALO,Healthcare,501777203200.0
RSCH,Healthcare,1097099968512.0
IKPM,Healthcare,424534966272.0
SURI,Healthcare,506749976576.0
LABS,Healthcare,576700022784.0
OBAT,Healthcare,226799992832.0
CHEK,Healthcare,588206374912.0
MDLA,Healthcare,3531231723520.0
DKHH,Healthcare,188700016640.0
CARE,Healthcare,15029000732672.0
AMFG,Industrials,1518999961600.0
AMIN,Industrials,282960003072.0
APII,Industrials,215152001024.0
ARNA,Industrials,3773762109440.0
ASGR,Industrials,2313158656000.0
ASII,Industrials,274276074651648.0
BHIT,Industrials,3258167066624.0
BNBR,Industrials,17861932220416.0
CTTH,Industrials,121853140992.0
DYAN,Industrials,376020860928.0
HEXA,Industrials,3746400043008.0
IBFN,Industrials,185114542080.0
ICON,Industrials,89359499264.0
IKAI,Industrials,332645007360.0
IKBI,Industrials,673200013312.0
IMPC,Industrials,121893537447936.0
INDX,Industrials,61307904000.0
INTA,Industrials,414647943168.0
JECC,Industrials,767339986944.0
JTPE,Industrials,4214010675200.0
KBLI,Industrials,1338416562176.0
KBLM,Industrials,378559987712.0
KIAS,Industrials,313511084032.0
KOBX,Industrials,384052494336.0
KOIN,Industrials,79448342528.0
KONI,Industrials,639599968256.0
LION,Industrials,288688799744.0
MDRN,Industrials,511355256832.0
MFMI,Industrials,984855281664.0
MLIA,Industrials,2050650013696.0
SCCO,Industrials,2039387258880.0
TIRA,Industrials,676199989248.0
TOTO,Industrials,2745120063488.0
TRIL,Industrials,
UNTR,Industrials,104414505336832.0
VOKS,Industrials,947477413888.0
ZBRA,Industrials,26710364160.0
MARK,Industrials,3097000148992.0
SPTO,Industrials,1741500055552.0
SKRN,Industrials,3388167946240.0
CAKK,Industrials,209374232576.0
SOSS,Industrials,651522605056.0
CCSI,Industrials,426666688512.0
BLUE,Industrials,2842400129024.0
ARKA,Industrials,71999995904.0
SINI,Industrials,7190950182912.0
HOPE,Industrials,617804464128.0
LABA,Industrials,139028709376.0
GPSO,Industrials,343371677696.0
KUAS,Industrials,120231165952.0
BINO,Industrials,286689853440.0
NTBK,Industrials,251106017280.0
PADA,Industrials,680399994880.0
KING,Industrials,520528232448.0
PTMP,Industrials,240859217920.0
SMIL,Industrials,2485473771520.0
CRSN,Industrials,355716005888.0
WIDI,Industrials,60801204224.0
FOLK,Industrials,2408366473216.0
MUTU,Industrials,348867526656.0
HYGN,Industrials,360819916800.0
VISI,Industrials,2521499959296.0
MHKI,Industrials,900000055296.0
NAIK,Industrials,359356891136.0
PIPA,Industrials,733184786432.0
