Kode,Industri,Market Cap
BKDP,Properties & Real Estate,450839543808.0
BKSL,Properties & Real Estate,25324043632640.0
BSDE,Properties & Real Estate,18926622736384.0
COWL,Properties & Real Estate,243560497152.0
CTRA,Properties & Real Estate,15569983111168.0
DART,Properties & Real Estate,549743394816.0
DILD,Properties & Real Estate,1565243867136.0
DMAS,Properties & Real Estate,6603141021696.0
DUTI,Properties & Real Estate,7455500140544.0
ELTY,Properties & Real Estate,2002008014848.0
EMDE,Properties & Real Estate,311550017536.0
FMII,Properties & Real Estate,1715200065536.0
GAMA,Properties & Real Estate,180198490112.0
GMTD,Properties & Real Estate,2315066277888.0
GPRA,Properties & Real Estate,504645320704.0
INPP,Properties & Real Estate,9113307185152.0
JRPT,Properties & Real Estate,13893051088896.0
KIJA,Properties & Real Estate,4649333555200.0
LCGP,Properties & Real Estate,641820000256.0
LPCK,Properties & Real Estate,4287462637568.0
LPKR,Properties & Real Estate,7087731507200.0
LPLI,Properties & Real Estate,395606261760.0
MDLN,Properties & Real Estate,740733616128.0
MKPI,Properties & Real Estate,22804065943552.0
MMLP,Properties & Real Estate,3389454286848.0
MTLA,Properties & Real Estate,4554800234496.0
MTSM,Properties & Real Estate,116423999488.0
NIRO,Properties & Real Estate,4972547145728.0
OMRE,Properties & Real Estate,1914387038208.0
PLIN,Properties & Real Estate,8874741465088.0
PPRO,Properties & Real Estate,1295189147648.0
PUDP,Properties & Real Estate,282103349248.0
PWON,Properties & Real Estate,17915371847680.0
RBMS,Properties & Real Estate,130154422272.0
RDTX,Properties & Real Estate,4072320008192.0
RIMO,Properties & Real Estate,2202480148480.0
RODA,Properties & Real Estate,747567054848.0
SMDM,Properties & Real Estate,3364357406720.0
SMRA,Properties & Real Estate,6537393209344.0
TARA,Properties & Real Estate,342367928320.0
CSIS,Properties & Real Estate,483067166720.0
ARMY,Properties & Real Estate,450312503296.0
NASA,Properties & Real Estate,451202088960.0
RISE,Properties & Real Estate,60744750071808.0
POLL,Properties & Real Estate,931708207104.0
LAND,Properties & Real Estate,187105542144.0
PANI,Properties & Real Estate,195663878946816.0
CITY,Properties & Real Estate,1243193540608.0
MPRO,Properties & Real Estate,109367500210176.0
SATU,Properties & Real Estate,371250003968.0
URBN,Properties & Real Estate,567766876160.0
POLI,Properties & Real Estate,2342263455744.0
CPRI,Properties & Real Estate,121668993024.0
POSA,Properties & Real Estate,419443507200.0
