Ticker,Industry,trailingPE,forwardPE,pegRatio,priceToBook,returnOnEquity,returnOnAssets,profitMargins,operatingMargins,debtToEquity,currentRatio,quickRatio,freeCashflow,operatingCashflow,revenueGrowth,earningsGrowth,averageVolume,volume,marketCap,regularMarketPrice,avg_value_traded,fundamental_score
DSSA,Energy,322.6141,95.16524,,259166.67,0.17181,0.0618,0.08259,0.15582,65.725,2.204,1.687,-205732208,329748992,-0.005,-0.33,53579176,72192100,481216893550592,3110.0,166631237360.0,278.8682683699353
ELSA,Energy,7.007922,13.911291,,0.947935,0.14062001,0.04883,0.04955,0.05129,12.229,1.485,1.222,126948622336,1691120041984,0.075,0.181,131012626,26198800,5035965022208,690.0,90398711940.0,472.2861209093747
ENRG,Energy,27.932503,17.344862,,50147.055,0.12380999,0.056500003,0.18375,0.32502,51.917,0.435,0.269,1017418,330016832,-0.075,0.402,206984669,123124900,44920320557056,1705.0,352908860645.0,328.2164547627714
ITMA,Energy,88.50365,,,9023.256,0.0057800002,0.0012899999,0.6543,-0.15298,13.457,0.387,0.233,2643510,745427,8.094,1.02,13281192,166900,1938163236864,1940.0,25765512480.0,454.52200225063484
ITMG,Energy,9.328359,6.561026,,15985.79,0.101339996,0.06745,0.1015,0.1526,4.647,3.761,2.84,132897504,285480000,-0.209,-0.403,3609723,1683900,30344952676352,27000.0,97462521000.0,297.5708181846294
LEAD,Energy,,,,18125.0,0.25014,0.04158,0.31295002,0.28839,81.926,1.39,0.933,19764416,19281084,-0.127,3.768,151296276,60358100,840944386048,145.0,21937960020.0,410.34057411587577
MBSS,Energy,8.01267,,,0.7731927,0.111260004,0.03697,0.45618,0.09074,7.024,12.598,12.156,9685335040,222501945344,-0.199,0.551,4715694,2320000,2966295150592,1695.0,7993101330.0,450.7216292034767
PGAS,Energy,12.019548,8.947446,,16106.195,0.09523,0.05178,0.054169998,0.13373,30.456,1.773,1.518,344432608,657096192,0.083,,57681598,21695100,44119544037376,1820.0,104980508360.0,270.3745439352387
PTBA,Energy,11.376609,7.0675697,,1.6104109,0.13076,0.045500003,0.06869,0.13063,17.055,1.119,0.707,1812343685120,6260828143616,-0.065,-0.183,36354067,14675500,33276490153984,2890.0,105063253630.0,434.85246863957525
PTRO,Energy,108.69565,,,206730.77,0.12564999,0.03437,0.0325,0.08952,276.315,1.275,1.02,-356032128,48155000,0.562,2.29,95293555,116290400,54212515856384,5375.0,512202858125.0,338.01229079859814
RAJA,Energy,40.0,,,91458.336,0.16372,0.06364,0.10215,0.01302,59.996,1.444,1.367,10198575,52814100,0.09,0.535,50836757,43869600,18556892741632,4390.0,223173363230.0,347.54553694540346
WOWS,Energy,,,,0.34940922,0.028099999,0.02041,0.0656,0.16398,12.983,1.507,0.411,10628208640,50776137728,0.121,1.961,94753571,36259900,188154707968,76.0,7201271396.0,545.1829501375304
TEBE,Energy,13.0203285,,,1.4195161,0.11532,0.08319,0.27469,0.43837002,,12.709,12.492,164710039552,190416666624,-0.083,0.108,8859051,6148400,1728324960256,1345.0,11915423595.0,391.03684543758067
GTSI,Energy,43.448273,,,62999.996,0.0867,0.04403,0.15123,0.21198,46.231,2.047,1.747,2603903,12820799,0.17,-0.732,234401246,118331700,3986424070144,252.0,59069113992.0,259.4862139081585
RMKE,Energy,56.177746,10.009977,,6.992913,0.13313,0.0773,0.109069996,0.12582,8.754,2.408,1.911,180243726336,235114119168,0.551,0.189,22411721,11636700,13606249824256,3110.0,69700452310.0,429.3725612883218
ADMR,Energy,15.847578,10.341622,,46842.105,0.16417,0.0808,0.27875,0.29258,41.606,1.594,1.341,-281703360,176948992,-0.049,-0.369,83260691,51148400,72770553643008,1780.0,148204029980.0,310.83819575521306
RMKO,Energy,,,,3.7179935,-0.24346,-0.06115,-0.121199995,0.00719,53.592,0.325,0.177,171411685376,146275205120,1.906,,58449800,28283800,662500016128,530.0,30978394000.0,415.8419526275039
AADI,Energy,6.0938544,86038.414,,23656.541,0.24216999,0.111190006,0.15481,0.18993999,22.636,1.947,1.67,261916880,859241984,0.025,0.183,25778973,8473400,78842278445056,10125.0,261012101625.0,390.073132757013
RATU,Energy,59.173157,625000.0,,312500.0,0.36198002,0.21275,0.30954,0.3802,26.115,3.012,2.927,23450052,20581502,-0.194,-0.306,19105553,18824100,15215927230464,5625.0,107468735625.0,346.4958635125224
EMTK,Technology,7.1527834,133.18112,,1.414864,0.19111,0.01043,0.35509,0.01481,4.01,6.079,5.475,-288773636096,2143677054976,0.525,-0.657,56527233,77098600,53534691164160,875.0,49461328875.0,391.2398637063684
WIFI,Technology,21.045057,8.518797,,1.7017748,0.13340999,0.06293,0.24620001,0.52119,65.092,2.182,1.605,-4056764645376,-814048346112,2.861,-0.552,42498755,37792700,12422004867072,2340.0,99447086700.0,392.79061112544935
BUKA,Technology,4.6845126,33.870968,,0.59929556,0.12847,-0.066750005,0.48264998,-1.4299899,0.446,37.072,36.373,-1983466700800,302411055104,0.681,,127358848,156860700,15162859847680,147.0,18721750656.0,311.5143480549568
GOTO,Technology,,-9.774436,,1.736343,-0.050809998,-0.0053100004,-0.06471,-0.03101,26.967,2.729,2.54,-703839272960,307024986112,0.188,,4789332764,3341817300,55224530108416,52.0,249045303728.0,320.9442734079731
ELIT,Technology,,,,2.791579,0.23077999,0.07615,0.07284,0.03192,17.787,1.46,1.181,18922827776,39305699328,-0.211,1.101,35623426,22954600,441225838592,218.0,7765906868.0,439.83095714176244
IRSX,Technology,80.60836,,,8.733265,0.13884,0.08257,0.06158,0.01164,0.573,7.107,4.074,-15329354752,28767760384,0.71,,88906235,54057000,3620585603072,424.0,37696243640.0,303.63507018549956
CYBR,Technology,158.70488,,,39.150475,0.37028,0.16933,0.12185001,0.35441002,16.866,3.046,2.798,-76971499520,-33863839744,0.455,-0.004,12847353,16168800,10041482543104,1495.0,19206792735.0,367.02251152922906
KLBF,Healthcare,12.240586,13.166689,,1.91345,0.15184,0.09519,0.10375,0.13725,1.208,3.468,1.946,2509022167040,3270655082496,0.113,0.205,50443582,45879800,44607228346368,985.0,49686928270.0,503.3291741904804
MIKA,Healthcare,21.597391,22.410149,,4.0641446,0.186,0.12189999,0.25423,0.30788,0.117,4.429,4.304,175416279040,1934750121984,0.105,0.179,3293921,1282800,29483859968000,2120.0,6983112520.0,418.6114843794981
SIDO,Healthcare,12.578616,12.970816,,4.9051976,0.37202,0.25185,0.3013,0.38332,0.132,3.86,2.91,952402771968,1253401034752,0.045,0.057,13419264,9318000,15306303995904,520.0,6978017280.0,528.8638233818127
HEAL,Healthcare,42.912415,24.771574,,3.3024025,0.08396,0.05389,0.06022,0.117419995,44.736,1.221,1.105,-777353887744,1137837998080,0.092,0.051,8180767,3870800,18746460602368,1220.0,9980535740.0,252.48736362876218
ASII,Industrials,7.7760496,8.20462,,1.1067705,0.14287,0.05066,0.101330005,0.14157,37.929,1.24,0.894,17351500103680,44694000107520,-0.029,0.035,55024805,37451300,253346413805568,6300.0,346656271500.0,524.6634831146965
IMPC,Industrials,195.99304,,,42.997192,0.225,0.106759995,0.14516,0.17058,30.887,2.691,1.367,441752682496,707161554944,0.131,0.12,57403642,31141300,123540749680640,2250.0,129158194500.0,355.7846062512749
UNTR,Industrials,7.6687117,6.2982683,,1.1437279,0.15078,0.07861,0.112799995,0.14816,18.342,1.356,0.937,11276674662400,27143448821760,-0.116,-0.15,6961732,5090400,111826419318784,31300.0,217902211600.0,534.6877372181094
MARK,Industrials,11.441188,,,3.727033,0.32198003,0.22097,0.33903998,0.39788,7.307,4.531,2.84,144181772288,247065051136,0.145,0.219,13619998,12196400,3249000153088,855.0,11645098290.0,527.6050444575212
KUAS,Industrials,25.92865,,,1.066711,0.06318,0.04298,0.05638,0.15767,61.715,1.982,1.284,4524533760,25351165952,-0.094,-0.13,170943516,719272000,182285959168,141.0,24103035756.0,371.73741507657974
MHKI,Industrials,17.958412,,,1.5139321,0.08051,0.061880004,0.18305999,0.19183001,2.164,17.355,12.81,72789803008,10337012736,0.136,-0.271,44947887,36732400,712500051968,190.0,8540098530.0,392.2611137850931
PIPA,Industrials,109.756096,,,3.0920043,0.02487,-0.0044,0.11104,-0.15687001,10.41,3.571,1.299,59112939520,12745637888,0.619,2.857,77823842,119640100,462523105280,135.0,10506218670.0,545.6774227634655
