Ticker,Industry,trailingPE,forwardPE,pegRatio,priceToBook,returnOnEquity,returnOnAssets,profitMargins,operatingMargins,debtToEquity,currentRatio,quickRatio,freeCashflow,operatingCashflow,revenueGrowth,earningsGrowth,averageVolume,volume,marketCap,regularMarketPrice,avg_value_traded,fundamental_score
APLN,Properties & Real Estate,34.607647,2.7180784,,0.33829033,0.01743,0.011469999,0.03164,0.16319,39.211,1.985,0.312,1468498968576,-239702917120,-0.671,-0.747,133191283,19292700,3904284393472,172.0,22908900676.0,282.335226634024
ASRI,Properties & Real Estate,8.401254,8.815789,,0.22839728,0.027709998,0.029189998,0.10674,0.42911,52.02,0.943,0.311,326729728000,1319548747776,0.402,6.164,51343689,27915800,2633020997632,134.0,6880054326.0,679.5836811100658
BKSL,Properties & Real Estate,23.030304,,,1.2546362,0.05348,0.03281,0.30111,0.43383,11.313,1.357,0.276,-607528812544,684209864704,5.046,,1075435012,323665900,19118814134272,114.0,122599591368.0,418.5102702748678
BSDE,Properties & Real Estate,6.53192,5.0348325,,0.37941697,0.05716,0.03168,0.19904,0.36504,31.143,3.382,1.136,-1794778202112,-993218002944,0.079,-0.287,14959100,5286400,16626149752832,795.0,11892484500.0,262.0993159621664
CTRA,Properties & Real Estate,5.104521,6.118372,,0.5660325,0.10935,0.050380003,0.21108,0.31598,36.535,1.925,0.892,-857810403328,79382003712,0.038,0.226,29132151,16744000,13623734829056,735.0,21412130985.0,359.3767507006293
DMAS,Properties & Real Estate,8.012048,4.56574,,0.9698189,0.11585,0.05343,0.61135,0.51033,,11.736,1.368,-115138781184,23277459456,0.544,0.307,74078026,22229800,6410348789760,133.0,9852377458.0,343.3893667623593
KIJA,Properties & Real Estate,8.905109,7.32,,0.6076141,0.1093,0.061160002,0.08218,0.2379,56.561,5.89,2.099,1326328840192,2402444115968,0.221,,194921166,75569800,3805819961344,183.0,35670573378.0,554.7970122013048
LPKR,Properties & Real Estate,12.839879,31.716417,,0.19996753,0.01847,0.00874,0.05309,0.061869998,31.043,4.073,0.394,-1622051389440,-1633709981696,0.131,2.665,463890403,175655100,6024571912192,85.0,39430684255.0,353.94261862279205
PWON,Properties & Real Estate,7.183908,7.122507,,0.7501715,0.10741,0.051220004,0.32992,0.38979998,20.966,3.523,1.843,1999878619136,3029001043968,0.058,0.503,113878026,12955100,16855860248576,350.0,39857309100.0,674.3826604822538
SMRA,Properties & Real Estate,7.193625,5.880282,,0.4731086,0.080699995,0.04378,0.08744001,0.25963,83.284,1.076,0.246,87685054464,973062537216,-0.238,-0.502,39304444,11111500,5513861922816,334.0,13127684296.0,349.7529821875667
PANI,Properties & Real Estate,128.20512,112.19196,,5.771014,0.07034,0.02776,0.26583,0.3511,1.864,1.917,0.247,186967851008,4378205184,0.647,1.461,10609746,10723800,156712266891264,8650.0,91774302900.0,498.95126034412294
